exp,method,model,steps,lr,update_target,num_layers,eval_mode,token_total,token_correct_before,token_correct_after,token_acc_before,token_acc_after,token_acc@5_before,token_acc@5_after,seq_total,seq_correct_before,seq_correct_after,seq_acc_before,seq_acc_after,flipped,minutes,trainable_params,trainable_pct,trainable_layer_count,total_layers
attn_1,attn_1,Llama-3.2-3B-Instruct,5,0.001,attn,1,ar,172,36,35,0.20930232558139536,0.20348837209302326,0.3546511627906977,0.3546511627906977,30,8,8,0.26666666666666666,0.26666666666666666,0,0.9545135656992595,25165824,0.7833110381644207,1,28
attn_2,attn_2,Llama-3.2-3B-Instruct,5,0.001,attn,2,ar,172,36,35,0.20930232558139536,0.20348837209302326,0.3546511627906977,0.3546511627906977,30,8,8,0.26666666666666666,0.26666666666666666,0,1.0535226742426553,50331648,1.5666220763288414,2,28
attn_4,attn_4,Llama-3.2-3B-Instruct,5,0.001,attn,4,ar,172,36,35,0.20930232558139536,0.20348837209302326,0.3546511627906977,0.3546511627906977,30,8,8,0.26666666666666666,0.26666666666666666,1,1.2212083697319032,100663296,3.133244152657683,4,28
attn_8,attn_8,Llama-3.2-3B-Instruct,5,0.001,attn,8,ar,172,36,36,0.20930232558139536,0.20930232558139536,0.3546511627906977,0.3488372093023256,30,8,8,0.26666666666666666,0.26666666666666666,1,1.7001540899276733,201326592,6.266488305315366,8,28
attn_all,attn_all,Llama-3.2-3B-Instruct,5,0.001,attn,all,ar,172,36,42,0.20930232558139536,0.2441860465116279,0.3546511627906977,0.31976744186046513,30,8,8,0.26666666666666666,0.26666666666666666,7,2.6275004148483276,704643072,21.93270906860378,28,28
baseline_all_all,baseline_all_all,Llama-3.2-3B-Instruct,5,0.001,all,all,ar,172,36,51,0.20930232558139536,0.29651162790697677,0.3546511627906977,0.3953488372093023,30,8,8,0.26666666666666666,0.26666666666666666,16,3.691621470451355,2818744320,87.73619093971507,28,28
baseline_all_lm_head_all,baseline_all_lm_head_all,Llama-3.2-3B-Instruct,5,0.001,all+lm_head,all,ar,172,36,51,0.20930232558139536,0.29651162790697677,0.3546511627906977,0.3953488372093023,30,8,8,0.26666666666666666,0.26666666666666666,15,3.9239057421684267,3212746752,99.99990438097679,28,28
baseline_attn_ln_all,baseline_attn_ln_all,Llama-3.2-3B-Instruct,5,0.001,attn+ln,all,ar,172,36,43,0.20930232558139536,0.25,0.3546511627906977,0.3313953488372093,30,8,8,0.26666666666666666,0.26666666666666666,7,2.804682223002116,704815104,21.938063733903732,28,28
baseline_mlp_ln_all,baseline_mlp_ln_all,Llama-3.2-3B-Instruct,5,0.001,mlp+ln,all,ar,172,36,50,0.20930232558139536,0.29069767441860467,0.3546511627906977,0.4069767441860465,30,8,8,0.26666666666666666,0.26666666666666666,15,2.824369772275289,2114101248,65.80348187111129,28,28
last_layer_all,last_layer_all,Llama-3.2-3B-Instruct,5,0.001,all,1,ar,172,36,35,0.20930232558139536,0.20348837209302326,0.3546511627906977,0.3488372093023256,30,8,8,0.26666666666666666,0.26666666666666666,0,1.0012093901634216,100669440,3.13343539070411,1,28
ln_all,ln_all,Llama-3.2-3B-Instruct,5,0.001,ln,all,ar,172,36,36,0.20930232558139536,0.20930232558139536,0.3546511627906977,0.3546511627906977,30,8,8,0.26666666666666666,0.26666666666666666,1,2.3710522254308066,172032,0.005354665299952095,28,28
mlp_1,mlp_1,Llama-3.2-3B-Instruct,5,0.001,mlp,1,ar,172,36,36,0.20930232558139536,0.20930232558139536,0.3546511627906977,0.3488372093023256,30,8,8,0.26666666666666666,0.26666666666666666,0,0.9303130706151327,75497472,2.349933114493262,1,28
mlp_2,mlp_2,Llama-3.2-3B-Instruct,5,0.001,mlp,2,ar,172,36,35,0.20930232558139536,0.20348837209302326,0.3546511627906977,0.3488372093023256,30,8,8,0.26666666666666666,0.26666666666666666,0,1.0297033747037252,150994944,4.699866228986524,2,28
mlp_4,mlp_4,Llama-3.2-3B-Instruct,5,0.001,mlp,4,ar,172,36,36,0.20930232558139536,0.20930232558139536,0.3546511627906977,0.3488372093023256,30,8,8,0.26666666666666666,0.26666666666666666,0,1.1811332066853841,301989888,9.399732457973048,4,28
mlp_8,mlp_8,Llama-3.2-3B-Instruct,5,0.001,mlp,8,ar,172,36,36,0.20930232558139536,0.20930232558139536,0.3546511627906977,0.3488372093023256,30,8,8,0.26666666666666666,0.26666666666666666,0,1.5223458925882976,603979776,18.799464915946096,8,28
mlp_all,mlp_all,Llama-3.2-3B-Instruct,5,0.001,mlp,all,ar,172,36,49,0.20930232558139536,0.28488372093023256,0.3546511627906977,0.3953488372093023,30,8,8,0.26666666666666666,0.26666666666666666,14,2.740822601318359,2113929216,65.79812720581134,28,28
